DateTime,Entries,UniqueIPs
1433655049,17812,139104927
1434090051,17812,139104927
1434177061,17812,139104927
1434264031,17812,139104927
1434264031,17812,139104927
1434264031,17812,139104927
1434264031,17812,139104927
1434264031,17812,139104927
1434264031,17812,139104927
1434612075,17812,139104927
1434612075,17812,139104927
1437831027,17812,139104927
1437831027,17812,139104927
1439137241,17812,139104927
1439137241,17812,139104927
1439137241,17812,139104927
1439224223,17812,139104927
1439572216,17812,139104927
1440093606,17812,139104927
1440615613,17812,139104927
1442529606,17812,139104927
1453078231,17812,139104927
1453165210,17812,139104927
1453252216,17812,139104927
1453339208,17812,139104927
1453426213,17812,139104927
1453506373,17812,139104927
1453593007,17812,139104927
1453680020,17812,139104927
1455151205,17811,139039391
1464742399,17810,139023007
1495460754,11073,126399861
1495547169,17810,139023007
1500024821,17827,138668703
1500111292,17798,138971688
1500197710,17797,138757446
1500284177,17800,139014502
1500370657,17800,139018551
1500457090,17793,139020383
1500543553,17793,138917095
1500630052,17789,138799735
1500716513,17798,138976030
1500802932,17800,139022655
1500889452,17787,138929406
1500975950,17800,139022671
1501062426,17795,139022563
1501148948,17793,139019119
1501235408,17794,139016974
1501321869,17787,139018881
1501408329,17790,129732191
1501494796,17791,138619103
1501581275,17794,139013319
1501667712,17796,138841142
1501754209,17786,139004063
1501840639,17799,139006150
1501927103,17787,139021171
1502013562,17798,138997022
1502100016,17798,139004670
1502186484,17792,139021525
1502272930,17800,139022287
1502359399,17800,138940759
1502445851,17793,138956038
1502532316,17797,139018559
1502618784,17795,139016718
1502705279,17797,139017423
1502791760,17798,139013799
1502878215,17799,138891543
1502964668,17796,139021679
1503051128,17801,139001951
1503137586,17797,138993119
1503224105,17795,139011863
1503310579,17796,139017781
1503397025,17791,138976911
1503483489,17794,139022461
1503569959,17796,139020263
1503656478,17791,138756047
1503829459,17794,138950935
1503915936,17800,139013541
1504002380,17793,139021038
1504088832,17794,138948653
1504175286,17788,139019430
1504261770,17789,138742543
1504348213,17790,138808079
1504434738,17795,138561623
1504521193,17795,139021974
1504607661,17800,139021294
1504694110,17798,138751743
1504780631,17797,138939743
1504867099,17798,138989614
1504953561,17797,138956694
1505040005,17799,138989007
1505126479,17788,138832351
1505212999,17796,139021471
1505299462,17793,139020902
1505472400,17799,139020727
1505558837,17799,139022271
1505645287,17795,139021886
1505731758,17792,139007311
1505818278,17791,138987191
1505904731,17789,139015487
1505991301,17790,139021548
1506077870,17795,138973655
1506164287,17791,138972031
1506250754,17798,139014143
1506335895,17799,139022654
1506422385,17793,139018353
1507287465,17792,139014687
1507373892,17794,139010079
1507460352,17798,138980887
1507546817,17792,138819572
1507633305,17794,138956414
1507719732,17789,139022079
1507806219,17793,139012687
1507892729,17792,139002287
1507979167,17794,138890375
1508065634,17794,138936151
1508152206,17799,139021783
1508238680,17800,139017279
1508325130,17791,139017391
1508411635,17795,139019446
1508498105,17796,139013831
1508584622,17796,138888534
1508671155,17792,139020983
