DateTime,AddedIPs,RemovedIPs
1497934682,63,67
1497960569,89,154
1497973697,50,78
1497995238,87,0
1498019581,51,73
1498040033,87,66
1498060009,55,147
1498086135,73,68
1498106873,60,73
1498127619,83,63
1498145740,31,0
1498166066,80,63
1498192589,45,76
1498212516,81,44
1498232639,83,122
1498255073,103,80
1498279216,90,56
1498300190,84,0
1498318762,67,99
1498338397,94,76
1498365708,68,166
1498385552,80,96
1498405001,48,0
1498430279,83,162
1498453004,77,0
1498477775,85,132
1498491965,95,85
1498511894,124,0
1498538423,80,77
1498558637,89,69
1498577822,72,204
1498598378,115,115
1498624876,59,0
1498644297,82,154
1498664335,36,0
1498684455,101,182
1498711086,64,0
1498730529,83,38
1498750623,36,81
1498771183,90,45
1498797684,61,150
1498817471,82,85
1498837160,17,38
1498857481,83,117
1498884240,62,27
1498904770,87,77
1498923361,24,0
1498943875,80,24
1498970206,63,147
1498990715,90,0
1499009959,18,101
1499031016,80,112
1499057105,58,36
1499076876,80,76
1499095930,20,0
1499117727,77,24
1499142989,63,139
1499163390,86,0
1499182786,18,108
1499204299,73,113
1499229517,56,24
1499250129,84,69
1499269003,23,0
1499290807,77,136
1499316844,59,0
1499344333,90,109
1499357160,28,30
1499385041,84,109
1499404535,65,37
1499424775,93,0
1499443153,20,67
1499469041,89,47
1499490786,49,147
1499512162,80,0
1499530048,22,114
1499556856,93,0
1499577262,33,135
1499598146,89,70
1499616782,20,0
1499638384,101,41
1499663154,40,92
1499688267,90,100
1499703017,22,46
1499730150,83,99
1499750023,55,33
1499770846,85,0
1499789216,16,115
1499815317,94,0
1499836148,27,102
1499861694,87,100
1499876027,26,0
1499896700,110,34
1499922148,31,81
1499947384,90,41
1499961890,23,71
1499988294,94,141
1500009151,28,43
1500029281,93,0
1500048518,19,111
1500075709,105,85
1500095459,34,37
1500121406,81,80
1500135579,56,0
1500157218,123,55
1500180866,53,86
1500207257,80,28
1500220523,53,98
1500248150,117,177
1500268222,66,35
1500294721,99,98
1500308034,67,61
1500328796,122,0
1500354662,49,116
1500381112,92,172
1500394174,50,0
1500420749,112,171
1500441449,58,43
1500460859,100,0
1500480273,54,161
1500507770,118,109
1500527602,56,49
1500548298,112,105
1500566775,45,0
1500593009,97,58
1500613878,56,110
1500639391,91,158
1500652819,17,51
1500678816,79,0
1500700558,59,97
1500721232,92,39
1500739185,21,83
1500765324,89,33
1500786860,57,137
1500809171,71,0
1500826049,19,111
1500851245,72,91
